followers count,friends count,retweet count,favorite count,PolarityClass,subjectivity
17,291,0,0,,1
120,376,0,0,,0.25
171,1010,1,0,,0
521,67,0,1,,0
2797,3171,0,2,,0
349356,17,1,7,,0.1
9215,8750,3,3,,0.3
59,281,0,0,,0.6
1562,1064,0,0,,0
200,291,0,0,,0
3195,1400,0,0,,0.454545455
42,265,0,0,,0.6
8002,7250,2,6,,0.6
943,1138,0,1,,0
63,378,0,0,,0.65
622,125,0,0,,0
9448,86,11,20,,0.525
369598,89,61,83,,0
16928,1998,69,341,,0
12931,14080,0,2,,0
1774,519,1,7,,0.4
4510,4965,0,0,,0.6
33,58,0,1,,0.522222222
3,464,0,0,,0.454545455
6563,6089,2,16,,0.833333333
87,453,2,9,,0.535714286
112953,1361,5,48,,0.35
332,596,0,0,,0
5443,1612,2,4,,0
38,228,0,0,,0.1
1244,1519,0,0,,0.9
7284,7732,0,1,,0.888888889
14638,14195,0,2,,0
603,1435,0,0,,0.5
5016,2031,11,53,,0.375
378,371,1,6,,0.6
5176,982,0,5,,0
8945,6844,3,37,,0
75,306,0,0,,0.9
2606,3866,0,1,,0.3
8,40,0,0,,0
587,214,2,2,,0
681,1033,0,0,,0
793,830,0,1,,0.677272727
3660,4853,2,5,,0.740740741
4581,4994,0,0,,0.6
2009,1308,2,13,,0.2
10142,10347,36,45,,0.544444444
147,346,1,3,,0.066666667
7,255,0,0,,0
6,60,0,0,,0
41,160,0,0,,1
1168,1700,0,0,,0.6
116098,246,1,5,,0.2625
8,39,0,0,,0.2
4417,1193,7,19,,0.571428571
242,542,0,0,,0
507,1651,0,0,,0.0625
40,197,0,0,,0.454545455
3802,1985,5,10,,0
171,177,1,9,,0.775
3094,3639,0,1,,0
2108,448,2,4,,0.35
318980,74,13,97,,0
200072,25894,2,5,,0.3
36920,2121,14,11,,0.05
223,806,0,0,,0.2375
1043,1709,0,4,,0
4227,4920,0,0,,0.5
0,21,0,0,,0
2561,148,3,16,,0.7
3792,384,0,0,,0
356,1164,0,0,,0.1
169,837,0,0,,0.4
1332,1166,2,3,,0.225
1933,2171,0,0,,1
19,37,0,0,,0.69375
291,257,0,0,,0.6
