followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
11707,990,5,6,0.136363636,
223,824,0,0,0.285714286,
16618,16539,5,20,0,
122,34,0,0,0.566666667,
254,875,0,0,0,
171,341,0,0,0.8,
35,30,0,0,0,
348,1401,1,4,0,
2,73,0,0,0,
14827,1000,0,4,0,
17477,11500,1,92,-0.081818182,
3158,319,0,2,0,
8,287,0,3,0,
184,77,0,0,0,
600,1086,1,7,0.6,
5290,4832,0,1,0.5,
1489,2498,1,2,0.133333333,
9264,9955,16,60,0,
316,1493,0,0,0.078787879,
475,692,0,2,0.5,
15266,9606,8,10,0,
10596,11333,0,2,0,
171,1010,0,0,0,
30155,22151,42,480,0.8,
1892,2099,1,1,0.5,
1860,1262,2,4,-0.7,
310,5003,0,1,0,
17015,16839,0,4,0.3,
203,603,2,7,-0.125,
124,475,0,1,0,
22,38,0,0,0,
17,291,0,0,-0.5,
120,376,0,0,-0.25,
171,1010,1,0,0,
521,67,0,1,0,
2797,3171,0,2,0,
349356,17,1,7,0,
9215,8750,3,3,0.05,
59,281,0,0,0.3,
1562,1064,0,0,0,
200,291,0,0,0,
3195,1400,0,0,0.136363636,
42,265,0,0,0.5,
8002,7250,2,6,0.3,
943,1138,0,1,0,
63,378,0,0,0.1,
622,125,0,0,0,
9448,86,11,20,-0.025,
369598,89,61,83,0,
16928,1998,69,341,0,
12931,14080,0,2,0,
1774,519,1,7,0.1,
4510,4965,0,0,0.3,
33,58,0,1,0.166666667,
3,464,0,0,0.136363636,
6563,6089,2,16,-0.25,
87,453,2,9,0.285714286,
112953,1361,5,48,0.3375,
332,596,0,0,0,
5443,1612,2,4,0,
38,228,0,0,0,
1244,1519,0,0,0.75,
7284,7732,0,1,0.5,
14638,14195,0,2,0,
603,1435,0,0,0.136363636,
5016,2031,11,53,-0.125,
378,371,1,6,0.7,
5176,982,0,5,0,
8945,6844,3,37,0,
75,306,0,0,0.7,
2606,3866,0,1,0,
8,40,0,0,0,
587,214,2,2,0,
681,1033,0,0,0,
793,830,0,1,0.368181818,
3660,4853,2,5,0.311111111,
4581,4994,0,0,0.3,
2009,1308,2,13,0.375,
10142,10347,36,45,0.4,
147,346,1,3,0,
7,255,0,0,0,
6,60,0,0,0,
41,160,0,0,0,
1168,1700,0,0,0.3,
116098,246,1,5,-0.025,
8,39,0,0,0.2,
4417,1193,7,19,0.357142857,
242,542,0,0,0,
507,1651,0,0,0,
40,197,0,0,0.136363636,
3802,1985,5,10,0,
171,177,1,9,0.675,
3094,3639,0,1,0,
2108,448,2,4,0.25,
318980,74,13,97,0,
200072,25894,2,5,0.1,
36920,2121,14,11,0,
223,806,0,0,-0.1125,
1043,1709,0,4,0,
4227,4920,0,0,0.5,
0,21,0,0,0,
2561,148,3,16,-0.4,
3792,384,0,0,0,
356,1164,0,0,0.05,
169,837,0,0,0.1,
1332,1166,2,3,-0.225,
1933,2171,0,0,0,
19,37,0,0,0.3046875,
291,257,0,0,0.3,
28,253,0,0,0.1,
77780,7060,36,93,0.4,
10,57,0,0,-0.5,
6333,6092,0,5,0,
291,257,0,0,0.2,
120,515,0,0,0,
216,130,1,0,0.2375,
1431,683,0,0,0,
8,41,0,0,0.136363636,
307731,2046,621,1401,0.4,
16430,16030,3,3,0,
645,1406,0,0,0,
890,746,17,28,0.25,
105,416,0,1,0,
62,243,0,0,0.136363636,
10,57,0,0,-0.5,
2012,762,0,1,0,
12,60,0,2,0,
22,38,0,0,0,
1530,2573,0,0,-0.291666667,
2812,4127,2,26,0.25,
19,57,0,0,0,
907,1283,0,0,0.3,
111550,368,6,27,0.1,
442,877,0,2,0,
619,836,0,1,-0.219444444,
11882,12332,0,1,0.136363636,
925,425,0,0,0.133333333,
105,303,0,0,0.6,
1449,8,0,0,0,
12,60,0,1,0,
30777,26200,28,62,0,
12,60,0,1,0,
3,12,0,0,0,
371,456,0,0,0,
44769,971,4,18,0,
175,484,0,1,0,
83413,76918,3,3,0,
635,298,0,13,0.391666667,
62,19,0,0,0.033928571,
184,288,1,1,0,
25980,27616,0,1,0,
661,1131,0,0,0,
12,34,0,0,0,
25,146,0,0,0.2,
4265,3992,0,3,-0.291666667,
10,61,1,4,0.075,
7974,8764,0,0,0,
395,5000,0,0,0.5,
994,883,0,0,-0.4,
212,159,0,1,0.2125,
401,813,0,2,0,
2991,687,1,1,0.1,
43,50,0,0,0.118181818,
1637,4023,2,2,0,
231,257,0,1,0,
217,98,0,0,0.2,
62,410,0,0,0,
1492,704,4,11,-0.2,
13823,12105,7,30,0,
3646,4722,0,3,0.1,
27718,18279,3,17,0.033333333,
19,35,0,0,0,
41,255,0,2,0,
27,247,0,0,0,
100,254,0,0,0.25,
113,114,0,0,-0.291666667,
3,57,0,0,0,
1085,1931,1,0,0,
108,267,0,0,-0.2,
10,141,0,5,-0.4,
26,150,0,0,0.2,
793,2078,0,0,0.1,
4556,382,9,23,0.3,
78201,732,0,0,-0.030555556,
0,5,0,0,0.0625,
6079,3729,0,0,0.25,
3828,4951,4,17,0.2,
561,1575,1,0,0,
16489,684,0,0,0,
7987,7783,0,0,0.3,
471,490,1,3,0.05,
716,167,0,1,0.164772727,
666,885,0,0,0.078125,
732,714,0,0,0.2,
147,389,0,0,0.3,
2835,439,0,2,-0.058333333,
6052,6034,1,6,0.625,
154,453,0,0,0,
59,410,0,0,0,
7567,8315,11,26,0,
173,176,0,0,0,
29,185,0,1,-0.233333333,
1349,4229,0,1,0,
263,266,0,0,0,
732,714,0,0,0.3,
477,488,0,0,0.033333333,
773,1325,0,0,0.15,
1,33,0,1,0,
211300,984,0,4,-0.5,
110,291,0,0,-0.4,
81757,101,2,26,0.194444444,
2389,2761,1,6,0,
834,206,0,0,0.433333333,
788,29,8,17,0,
371,180,0,7,0.283333333,
212,189,0,0,0.3,
233,277,0,0,0,
33,496,0,0,-0.388888889,
1694,1708,0,0,0.125,
233,277,0,0,0,
233,277,0,0,0,
158,79,0,0,0,
729,465,0,1,0,
6,4,0,0,0,
4880,3849,1,1,0.05,
1971,810,1,4,0.18828125,
335,200,0,0,0,
4647,477,8,8,0,
154,278,0,0,-0.3,
6103,6206,36,23,0,
1786,549,0,0,0.3,
732,714,0,0,0.25,
4133,946,1,1,0,
21663,1090,0,0,0,
17,2,0,0,0,
110,125,1,2,0.15,
1680,1911,0,0,0.3,
217,997,0,0,0.3,
137,224,1,3,-0.1,
4389,1398,1,0,0.1,
8356,2728,1,0,0.1,
4759,3238,0,0,0.1,
1379,2442,1,2,-0.5,
116,576,0,1,0.2,
26533,4045,2,5,-0.6,
206,1411,0,0,-0.1,
126,727,0,0,0,
1423,2321,0,0,0.25,
384,206,0,0,0,
14463,803,0,1,0,
527,89,0,7,0.266666667,
11,145,0,0,0.136363636,
14362,3370,4,14,0.3,
248,264,0,3,0.425,
8271,3436,0,3,0,
718,1758,0,1,0,
3334,2760,0,1,0,
84405,5631,138,658,0,
9300,4062,0,2,0.3,
608,764,0,0,-0.071428571,
109435,356,17,61,0.05,
63,54,0,0,0,
2154,475,3,5,0.3,
13,21,0,0,0,
233,463,0,0,0,
26,100,1,1,0,
12123,1163,0,0,0.216666667,
7846,6683,0,0,-0.5,
90,356,0,0,0.3,
69,471,0,0,0,
146,30,0,2,0.166666667,
748,147,1,1,-0.06,
6625,3727,5,5,0,
1572681,1775,733,3360,0.55,
98,219,0,0,0,
2649,4567,0,0,0.03125,
3301,3009,0,0,0,
163,960,0,0,0,
1228,990,0,0,0.1,
103332,5077,1068,6581,-0.25,
116098,246,2,4,-0.025,
687037,1302,1073,4179,0.045454545,
321,1151,0,0,0.6,
11374,1182,73,535,0,
3341,3765,1,0,0.3,
409,917,0,0,0,
27,212,0,0,0,
27983,6635,0,4,0.1,
3121,2256,0,2,0.2,
3991,3135,0,0,0.5,
45502,40169,6,11,0.136363636,
698,1574,0,0,0.3,
1302,2264,0,0,0,
6849,6981,0,1,0.8,
15,123,0,0,0.4,
2273,796,1,10,0.6,
7919,869,2,15,-0.4,
3345,4615,0,1,0,
1034,973,0,0,0,
285,5,0,0,0.125,
29,179,0,2,0.267857143,
440,497,0,0,0.228571429,
87,938,0,0,0.136363636,
13206,13222,7,9,0,
70,512,0,1,0,
29593,24914,6,11,0,
2792,2759,0,1,0.133333333,
3410,849,0,1,0.375,
55,101,0,0,0,
167257,3375,61,151,0,
2811,888,0,2,-0.2,
1809,3655,6,11,-0.15,
129,112,0,2,0,
50,1947,1,1,0,
287,1046,260,328,0,
19671,6605,26,47,0,
871,2188,0,0,0.136363636,
107,48,0,0,-0.5,
959,912,0,0,0.2,
114886,21924,59,222,0,
2528,1129,0,0,0,
3241,4955,0,2,0.2,
