followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
126219,0,3,5,0.14444444444444446,0
19,40,0,0,0.0,0
17,65,0,0,0.0,0
27733,2750,30,270,-0.14583333333333334,0
670,1415,6,22,0.0,0
1862,2323,0,0,0.0,0
55696,30324,0,4,0.0,0
11707,990,5,6,0.13636363636363635,1
223,824,0,0,0.2857142857142857,1
16618,16539,5,20,0.0,0
122,34,0,0,0.5666666666666667,1
254,875,0,0,0.0,0
171,341,0,0,0.8,0
35,30,0,0,0.0,0
348,1401,1,4,0.0,0
2,73,0,0,0.0,2
14827,1000,0,4,0.0,0
17477,11500,1,92,-0.08181818181818183,1
3158,319,0,2,0.0,0
8,287,0,3,0.0,0
184,77,0,0,0.0,2
600,1086,1,7,0.6,2
5290,4832,0,1,0.5,1
1489,2498,1,2,0.13333333333333333,0
9264,9955,16,60,0.0,0
316,1493,0,0,0.07878787878787878,1
475,692,0,2,0.5000000000000001,2
15266,9606,8,10,0.0,0
10596,11333,0,2,0.0,0
171,1010,0,0,0.0,0
30155,22151,42,480,0.8,0
1892,2099,1,1,0.5,2
1860,1262,2,4,-0.6999999999999998,2
310,5003,0,1,0.0,0
17015,16839,0,4,0.3,0
203,603,2,7,-0.125,0
124,475,0,1,0.0,0
22,38,0,0,0.0,2
17,291,0,0,-0.5,2
120,376,0,0,-0.25,0
171,1010,1,0,0.0,0
521,67,0,1,0.0,0
2797,3171,0,2,0.0,0
349356,17,1,7,0.0,0
9215,8750,3,3,0.04999999999999999,0
59,281,0,0,0.3,2
1562,1064,0,0,0.0,0
200,291,0,0,0.0,0
3195,1400,0,0,0.13636363636363635,1
42,265,0,0,0.5,2
8002,7250,2,6,0.3,2
943,1138,0,1,0.0,0
63,378,0,0,0.1,2
622,125,0,0,0.0,0
9448,86,11,20,-0.025,1
369598,89,61,83,0.0,0
16928,1998,69,341,0.0,0
12931,14080,0,2,0.0,0
1774,519,1,7,0.1,0
4510,4965,0,0,0.3,2
33,58,0,1,0.16666666666666666,1
3,464,0,0,0.13636363636363635,1
6563,6089,2,16,-0.25,2
87,453,2,9,0.2857142857142857,1
112953,1361,5,48,0.3375,0
332,596,0,0,0.0,0
5443,1612,2,4,0.0,0
38,228,0,0,0.0,0
1244,1519,0,0,0.75,2
7284,7732,0,1,0.5,2
14638,14195,0,2,0.0,0
603,1435,0,0,0.13636363636363635,1
5016,2031,11,53,-0.125,0
378,371,1,6,0.7,2
5176,982,0,5,0.0,0
8945,6844,3,37,0.0,0
75,306,0,0,0.7,2
2606,3866,0,1,0.0,0
8,40,0,0,0.0,0
587,214,2,2,0.0,0
681,1033,0,0,0.0,0
793,830,0,1,0.36818181818181817,2
3660,4853,2,5,0.3111111111111111,2
4581,4994,0,0,0.3,2
2009,1308,2,13,0.375,0
10142,10347,36,45,0.4,1
147,346,1,3,0.0,0
7,255,0,0,0.0,0
6,60,0,0,0.0,0
41,160,0,0,0.0,2
1168,1700,0,0,0.3,2
116098,246,1,5,-0.025,0
8,39,0,0,0.2,0
4417,1193,7,19,0.35714285714285715,1
242,542,0,0,0.0,0
507,1651,0,0,0.0,0
40,197,0,0,0.13636363636363635,1
